epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,314.59,0.85404,0.52823,1.22659,0.97548,0.90909,0.97187,0.75451,0.73108,0.40393,1.28292,0.000581,0.000581,0.000581
45,321.217,0.82471,0.52109,1.21555,0.96739,0.93182,0.98506,0.7605,0.72197,0.426,1.28639,0.000548,0.000548,0.000548
46,328.68,0.81321,0.49811,1.20174,0.95217,0.90504,0.95336,0.76731,0.70398,0.42457,1.27084,0.000515,0.000515,0.000515
47,336.024,0.79928,0.51967,1.18774,0.9531,0.92393,0.97615,0.78098,0.70362,0.41818,1.24057,0.000482,0.000482,0.000482
48,343.242,0.78667,0.48583,1.19401,0.96752,0.88636,0.94528,0.74334,0.74278,0.42213,1.29036,0.000449,0.000449,0.000449
49,350.679,0.7772,0.49866,1.21412,0.95234,0.90838,0.93108,0.72014,0.78695,0.42189,1.36731,0.000416,0.000416,0.000416
50,357.287,0.8171,0.50557,1.19251,0.97539,0.90909,0.92828,0.72705,0.76837,0.4331,1.33871,0.000383,0.000383,0.000383
51,367.022,0.75051,0.55215,1.26098,0.99307,0.90909,0.92491,0.7155,0.75595,0.49182,1.32112,0.00035,0.00035,0.00035
52,373.717,0.70508,0.45352,1.1816,0.99441,0.84091,0.962,0.77195,0.65785,0.45291,1.25173,0.000317,0.000317,0.000317
53,380.875,0.6988,0.42386,1.20368,1,0.90495,0.959,0.75873,0.73915,0.44008,1.29525,0.000284,0.000284,0.000284
54,388.011,0.67498,0.39711,1.19767,0.97543,0.90241,0.96082,0.77494,0.65836,0.39209,1.21436,0.000251,0.000251,0.000251
55,394.739,0.65607,0.39467,1.14311,0.97619,0.93167,0.96395,0.77334,0.67345,0.38006,1.24102,0.000218,0.000218,0.000218
56,402.171,0.64469,0.39129,1.15065,0.97616,0.93075,0.96941,0.77456,0.7021,0.38767,1.25478,0.000185,0.000185,0.000185
57,408.635,0.64508,0.37403,1.1856,0.97614,0.92966,0.97062,0.78352,0.65191,0.37862,1.19457,0.000152,0.000152,0.000152
58,416.036,0.6129,0.37304,1.14555,0.95447,0.95286,0.96757,0.77947,0.64069,0.3507,1.18984,0.000119,0.000119,0.000119
59,422.594,0.60584,0.36202,1.13761,0.97613,0.92929,0.96872,0.78454,0.64237,0.34801,1.18651,8.6e-05,8.6e-05,8.6e-05
60,429.847,0.61473,0.34334,1.11591,0.97613,0.92944,0.96723,0.78669,0.65018,0.37518,1.19047,5.3e-05,5.3e-05,5.3e-05
